ACEI,Type,dmd,Description
Captopril,ACEI,1901000001109,Captopril 50mg tablet - product
Captopril,ACEI,3911000001107,Captopril 50mg tablets (Approved Prescription Services) (product)
Captopril,ACEI + TZ,17311000001102,Capozide 25mg/50mg tablets (Bristol-Myers Squibb Pharmaceuticals Limited) (product)
Captopril,ACEI,19311000001107,Captopril 12.5mg tablets (Approved Prescription Services) (product)
Captopril,ACEI + TZ,25501000001105,Co-zidocapt 25mg/12.5mg tablet - product
Captopril,ACEI + TZ,67601000001109,Acezide tablet
Captopril,ACEI + TZ,72201000001102,Co-zidocapt 50mg/25mg tablet - product
Captopril,ACEI,134511000001103,Capoten 12.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Limited) (product)
Captopril,ACEI + TZ,207311000001109,Co-zidocapt 12.5mg/25mg tablets (Unichem Plc) (product)
Captopril,ACEI,212311000001105,Captopril 50mg tablets (Sandoz Ltd) (product)
Captopril,ACEI,221411000001104,Ecopace 12.5mg tablets (Goldshield Healthcare Ltd) (product)
Captopril,ACEI,226411000001105,Captopril 12.5mg tablets (A A H Pharmaceuticals Ltd) (product)
Captopril,ACEI,248011000001100,Captopril 50mg tablets (Alpharma Limited) (product)
Captopril,ACEI,260611000001102,Captopril 25mg tablets (Generics (UK) Ltd) (product)
Captopril,ACEI + TZ,263311000001101,Acezide 25mg/50mg tablets (Bristol-Myers Squibb Pharmaceuticals Limited) (product)
Captopril,ACEI,291911000001104,Captopril 50mg tablets (Kent Pharmaceuticals Ltd) (product)
Captopril,ACEI,303411000001102,Captopril 25mg tablets (A A H Pharmaceuticals Ltd) (product)
Captopril,ACEI + TZ,307811000001106,Co-zidocapt 25mg/50mg tablets (Sandoz Ltd) (product)
Captopril,ACEI,332211000001104,Captopril 12.5mg tablets (Generics (UK) Ltd) (product)
Captopril,ACEI,345711000001101,Captopril 25mg tablets (Kent Pharmaceuticals Ltd) (product)
Captopril,ACEI,372511000001104,Captomex 12.5mg tablets (Alpharma Limited) (product)
Captopril,ACEI,386611000001109,Capoten 50mg tablets (Bristol-Myers Squibb Pharmaceuticals Limited) (product)
Captopril,ACEI,424411000001101,Captopril 25mg tablets (Approved Prescription Services) (product)
Captopril,ACEI,429211000001101,Captopril 50mg tablets (A A H Pharmaceuticals Ltd) (product)
Captopril,ACEI,455611000001103,Capoten 25mg tablets (Bristol-Myers Squibb Pharmaceuticals Limited) (product)
Captopril,ACEI,477111000001100,Kaplon 25mg tablets (Teva UK Ltd) (product)
Captopril,ACEI,501411000001104,Captopril 25mg tablets (Alpharma Limited) (product)
Captopril,ACEI,503701000001109,Capoten 25mg tablet
Captopril,ACEI,517711000001103,Acepril 25mg tablets (Bristol-Myers Squibb Pharmaceuticals Limited) (product)
Captopril,ACEI + TZ,546711000001107,Capozide LS 12.5mg/25mg tablets (Bristol-Myers Squibb Pharmaceuticals Limited) (product)
Captopril,ACEI,562011000001101,Captomex 25mg tablets (Alpharma Limited) (product)
Captopril,ACEI,569001000001106,Acepril 12.5mg tablet
Captopril,ACEI,572511000001102,Kaplon 50mg tablets (Teva UK Ltd) (product)
Captopril,ACEI,573801000001105,Capoten 50mg tablet
Captopril,ACEI,582201000001107,Capoten 12.5mg tablet
Captopril,ACEI,597511000001109,Tensopril 25mg tablets (IVAX Pharmaceuticals UK Ltd) (product)
Captopril,ACEI,605411000001105,Captopril 12.5mg tablets (Alpharma Limited) (product)
Captopril,ACEI + TZ,614011000001103,Co-zidocapt 25mg/50mg tablets (Unichem Plc) (product)
Captopril,ACEI,614411000001107,Captopril 25mg tablets (Sandoz Ltd) (product)
Captopril,ACEI,639101000001105,Acepril 25mg tablet
Captopril,ACEI + TZ,642211000001105,Co-zidocapt 25mg/50mg tablets (A A H Pharmaceuticals Ltd) (product)
Captopril,ACEI + TZ,643901000001106,Capozide tablet
Captopril,ACEI,653111000001108,Tensopril 50mg tablets (IVAX Pharmaceuticals UK Ltd) (product)
Captopril,ACEI,653311000001105,Captopril 12.5mg tablets (Unichem Plc) (product)
Captopril,ACEI,654711000001106,Captopril 12.5mg tablets (Sandoz Ltd) (product)
Captopril,ACEI,660111000001107,Acepril 12.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Limited) (product)
Captopril,ACEI,665411000001109,Captopril 12.5mg tablets (Kent Pharmaceuticals Ltd) (product)
Captopril,ACEI,670111000001104,Captopril 25mg tablets (Unichem Plc) (product)
Captopril,ACEI,673711000001107,Tensopril 12.5mg tablets (IVAX Pharmaceuticals UK Ltd) (product)
Captopril,ACEI,692601000001103,Captopril 25mg tablet - product
Captopril,ACEI,708801000001107,Acepril 50mg tablet
Captopril,ACEI + TZ,713801000001103,Capozide LS tablet
Captopril,ACEI,760211000001106,Captomex 50mg tablets (Alpharma Limited) (product)
Captopril,ACEI,762611000001109,Captopril 25mg tablets (Sterwin Medicines) (product)
Captopril,ACEI,762711000001100,Captopril 12.5mg tablets (Sterwin Medicines) (product)
Captopril,ACEI + TZ,765211000001102,Co-zidocapt 12.5mg/25mg tablets (Sandoz Ltd) (product)
Captopril,ACEI,767911000001101,Ecopace 50mg tablets (Goldshield Healthcare Ltd) (product)
Captopril,ACEI,777711000001105,Kaplon 12.5mg tablets (Teva UK Ltd) (product)
Captopril,ACEI,782801000001109,Captopril 12.5mg tablet - product
Captopril,ACEI,805111000001105,Captopril 50mg tablets (Unichem Plc) (product)
Captopril,ACEI,814111000001108,Acepril 50mg tablets (Bristol-Myers Squibb Pharmaceuticals Limited) (product)
Captopril,ACEI,817411000001108,Ecopace 25mg tablets (Goldshield Healthcare Ltd) (product)
Captopril,ACEI,827011000001105,Captopril 50mg tablets (Sterwin Medicines) (product)
Captopril,ACEI,829011000001101,Captopril 50mg tablets (Generics (UK) Ltd) (product)
Captopril,ACEI,860301000001103,Acepril 25mg tablets x56
Captopril,ACEI,860401000001106,Capoten 25mg tablets x56
Captopril,ACEI,860501000001105,Capoten 50mg tablets x56
Captopril,ACEI + TZ,860601000001109,Acezide 50mg tablets x56
Captopril,ACEI + TZ,860701000001104,Capozide 50mg tablets x28
Captopril,ACEI + TZ,860801000001108,Capozide LS 25mg tablets x28CP
Captopril,ACEI,860901000001102,Captopril 25mg tablets x56
Captopril,ACEI,861001000001106,Captopril 50mg tablets x56
Captopril,ACEI,947911000001103,Captopril 25mg tablets 84 tablet (product)
Captopril,ACEI + TZ,962511000001101,Co-zidocapt 12.5mg/25mg tablets 30 tablet (product)
Captopril,ACEI,980811000001101,Captopril 50mg tablets 84 tablet (product)
Captopril,ACEI + TZ,985611000001108,Co-zidocapt 25mg/50mg tablets 30 tablet (product)
Captopril,ACEI,1040911000001109,Captopril 50mg tablets 56 tablet (product)
Captopril,ACEI + TZ,1046111000001109,Co-zidocapt 12.5mg/25mg tablets 28 tablet (product)
Captopril,ACEI,1046811000001102,Captopril 25mg tablets 56 tablet (product)
Captopril,ACEI + TZ,1125311000001106,Co-zidocapt 25mg/50mg tablets 28 tablet (product)
Captopril,ACEI,1187511000001102,Captopril 12.5mg tablets 100 tablet (product)
Captopril,ACEI,1246911000001100,Captopril 12.5mg tablets 56 tablet (product)
Captopril,ACEI,1289011000001103,Captopril 50mg tablets 100 tablet (product)
Captopril,ACEI,1323511000001105,Captopril 25mg tablets 100 tablet (product)
Captopril,ACEI,1345011000001103,Captopril 12.5mg tablets (A A H Pharmaceuticals Ltd) 56 tablet 4 x 14 tablets (product)
Captopril,ACEI,1345211000001108,Captopril 12.5mg tablets (Alpharma Limited) 56 tablet 4 x 14 tablets (product)
Captopril,ACEI,1345311000001100,Captopril 12.5mg tablets (Approved Prescription Services) 56 tablet 4 x 14 tablets (product)
Captopril,ACEI,1345511000001106,Kaplon 12.5mg tablets (Teva UK Ltd) 56 tablet 2 x 28 tablets (product)
Captopril,ACEI,1345911000001104,Acepril 12.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Limited) 56 tablet 4 x 14 tablets (product)
Captopril,ACEI,1346011000001107,Acepril 12.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Limited) 100 tablet (product)
Captopril,ACEI,1346111000001108,Capoten 12.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Limited) 56 tablet 4 x 14 tablets (product)
Captopril,ACEI,1346211000001102,Captomex 12.5mg tablets (Alpharma Limited) 56 tablet (product)
Captopril,ACEI,1346311000001105,Captopril 12.5mg tablets (Generics (UK) Ltd) 56 tablet (product)
Captopril,ACEI,1346411000001103,Ecopace 12.5mg tablets (Goldshield Healthcare Ltd) 56 tablet 4 x 14 tablets (product)
