ARB,Type,dmd,Description
Azilsartan,ARB,11373201000001105,Edarbi (product)
Azilsartan,ARB,11581001000001109,AZILSARTAN
Azilsartan,ARB,11581101000001105,EDARBI 20mg tablets
Azilsartan,ARB,11581201000001103,AZILSARTAN MEDOXOMIL 20mg tablets
Azilsartan,ARB,11581301000001107,EDARBI 40mg tablets
Azilsartan,ARB,11581401000001104,AZILSARTAN MEDOXOMIL 40mg tablets
Azilsartan,ARB,11581501000001100,EDARBI 80mg tablets
Azilsartan,ARB,11581601000001101,AZILSARTAN MEDOXOMIL 80mg tablets
Azilsartan,ARB,20350811000001105,Azilsartan medoxomil 20mg tablets 28 tablet (product)
Azilsartan,ARB,20350911000001100,Edarbi 20mg tablets (Takeda UK Ltd) (product)
Azilsartan,ARB,20351011000001108,Edarbi 20mg tablets (Takeda UK Ltd) 28 tablet 2 x 14 tablets (product)
Azilsartan,ARB,20351111000001109,Azilsartan medoxomil 40mg tablets 28 tablet (product)
Azilsartan,ARB,20351211000001103,Edarbi 40mg tablets (Takeda UK Ltd) (product)
Azilsartan,ARB,20351511000001100,Edarbi 40mg tablets (Takeda UK Ltd) 28 tablet 2 x 14 tablets (product)
Azilsartan,ARB,20351711000001105,Azilsartan medoxomil 80mg tablets 28 tablet (product)
Azilsartan,ARB,20351811000001102,Edarbi 80mg tablets (Takeda UK Ltd) (product)
Azilsartan,ARB,20351911000001107,Edarbi 80mg tablets (Takeda UK Ltd) 28 tablet 2 x 14 tablets (product)
Azilsartan,ARB,20418711000001104,Azilsartan medoxomil 20mg tablets (product)
Candesartan,ARB,36011000001106,Amias 8mg tablets (Takeda UK Ltd) (product)
Candesartan,ARB,97311000001103,Amias 2mg tablets (Takeda UK Ltd) (product)
Candesartan,ARB,857411000001100,Amias 4mg tablets (Takeda UK Ltd) (product)
Candesartan,ARB,908511000001100,Amias 16mg tablets (Takeda UK Ltd) (product)
Candesartan,ARB,948711000001104,Candesartan 2mg tablets 7 tablet (product)
Candesartan,ARB,988711000001106,Candesartan 16mg tablets 28 tablet (product)
Candesartan,ARB,1021711000001102,Candesartan 4mg tablets 7 tablet (product)
Candesartan,ARB,1150111000001102,Candesartan 8mg tablets 28 tablet (product)
Candesartan,ARB,1276011000001100,Candesartan 4mg tablets 28 tablet (product)
Candesartan,ARB,1343911000001100,Amias 2mg tablets (Takeda UK Ltd) 7 tablet (product)
Candesartan,ARB,1351511000001105,Amias 4mg tablets (Takeda UK Ltd) 7 tablet (product)
Candesartan,ARB,1351611000001109,Amias 4mg tablets (Takeda UK Ltd) 28 tablet 4 x 7 tablets (product)
Candesartan,ARB,1351811000001108,Amias 8mg tablets (Takeda UK Ltd) 28 tablet 4 x 7 tablets (product)
Candesartan,ARB,1351911000001103,Amias 16mg tablets (Takeda UK Ltd) 28 tablet 4 x 7 tablets (product)
Candesartan,ARB,3332501000001108,Candesartan cilexetil 2mg tablet - product
Candesartan,ARB,3332601000001107,Candesartan cilexetil 4mg tablet - product
Candesartan,ARB,3332701000001102,Candesartan cilexetil 8mg tablet - product
Candesartan,ARB,3332801000001106,Candesartan cilexetil 16mg tablet - product
Candesartan,ARB,3332901000001100,Amias 2mg tablet
Candesartan,ARB,3333001000001109,Amias 4mg tablet
Candesartan,ARB,3333101000001105,Amias 8mg tablet
Candesartan,ARB,3333201000001103,Amias 16mg tablet
Candesartan,ARB,3333301000001107,Amias (qualifier value)
Candesartan,ARB,3519411000001106,Candesartan cilexetil (substance)
Candesartan,ARB,5331511000001108,Amias 8mg tablets (PI) (Waymade Ltd) (product)
Candesartan,ARB,5331611000001107,Amias 8mg tablets (PI) (Waymade Ltd) 28 tablet 2 x 14 tablets (product)
Candesartan,ARB,5331711000001103,Amias 16mg tablets (PI) (Waymade Ltd) (product)
Candesartan,ARB,5331911000001101,Amias 16mg tablets (PI) (Waymade Ltd) 28 tablet 2 x 14 tablets (product)
Candesartan,ARB,5343411000001107,Candesartan 4mg tablets (PI) (Waymade Ltd) (product)
Candesartan,ARB,5343511000001106,Candesartan 4mg tablets (PI) (Waymade Ltd) 28 tablet 2 x 14 tablets (product)
